                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1827,                 4.3606,                 1.2472,                0.00287,                0.66667,                  0.129,                0.10095,                  1.171,                 7.3668,                0.77067,                  0.001,                  0.001,                  0.001
                      2,                 1.3147,                 3.9085,                 1.1871,                0.00287,                0.66667,                  0.129,                0.10095,                  1.171,                 7.3668,                0.77067,              0.0009901,              0.0009901,              0.0009901
                      3,                 1.3156,                  4.274,                 1.2749,                0.00287,                0.66667,                  0.129,                0.10095,                  1.171,                 7.3668,                0.77067,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.3444,                 4.2157,                   1.18,                0.00287,                0.66667,                  0.129,                0.10095,                  1.171,                 7.3668,                0.77067,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.5032,                 4.1376,                 1.3757,                0.00287,                0.66667,                  0.129,                0.10095,                  1.171,                 7.3668,                0.77067,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.4225,                 4.2258,                 1.3278,                0.00287,                0.66667,                  0.129,                0.10095,                  1.171,                 7.3668,                0.77067,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.4072,                 4.2682,                 1.4007,                0.00287,                0.66667,                  0.129,                0.10095,                  1.171,                 7.3668,                0.77067,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.3265,                 4.1721,                 1.1876,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0774,                 3.3605,                 1.0308,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.4641,                 3.2891,                 1.4475,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.2195,                 3.4725,                 1.2094,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,               0.000901,               0.000901,               0.000901
                     12,                 1.1501,                 3.6907,                 1.0536,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1552,                  3.285,                 1.0827,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,              0.0008812,              0.0008812,              0.0008812
                     14,                0.97987,                 3.2839,                 1.1562,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.2141,                 3.5583,                 1.2459,                0.00224,                0.54167,                0.22924,                0.05297,                0.96547,                 7.2227,                0.73213,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0026,                 3.0523,                 1.0174,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.3182,                 2.7169,                 1.3896,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.2763,                 2.7301,                 1.4548,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.3201,                 2.2048,                 1.2048,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.3342,                 2.7032,                 1.3105,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.1633,                 2.5287,                 1.1895,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,               0.000802,               0.000802,               0.000802
                     22,                 1.3349,                 2.3902,                 1.3038,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.5748,                 2.4577,                 1.1408,                0.00342,                0.79167,                 0.5527,                0.17989,                 1.1135,                  6.991,                0.80774,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.3223,                 2.7671,                 1.2562,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,              0.0007723,              0.0007723,              0.0007723
                     25,                0.97059,                 2.5619,                0.98723,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.0597,                 3.0691,                 1.1373,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,              0.0007525,              0.0007525,              0.0007525
                     27,                0.92376,                 2.6068,                 1.0193,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,              0.0007426,              0.0007426,              0.0007426
                     28,                0.87203,                 2.1847,                0.95921,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,              0.0007327,              0.0007327,              0.0007327
                     29,                0.92806,                  2.439,                 1.0199,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.0778,                 3.1749,                 1.1129,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.0124,                 2.4339,                 1.0311,                0.00388,                  0.875,                0.59417,                0.31368,                0.78152,                 6.7917,                0.68194,               0.000703,               0.000703,               0.000703
                     32,                0.83166,                 3.2416,                0.96689,                 0.0033,                0.79167,                0.50497,                0.21743,                0.79425,                 6.4307,                 0.6708,              0.0006931,              0.0006931,              0.0006931
