                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1626,                 4.1002,                 1.2297,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,                  0.001,                  0.001,                  0.001
                      2,                 1.3629,                  4.352,                 1.2966,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009901,              0.0009901,              0.0009901
                      3,                 1.2957,                 4.0183,                 1.2685,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.3985,                 4.1585,                 1.3659,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.5049,                 4.2968,                 1.4354,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009604,              0.0009604,              0.0009604
                      6,                  1.627,                 4.7797,                 1.4488,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.3685,                 3.8552,                 1.1876,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2196,                 4.0147,                 1.2035,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.2035,                 3.3596,                  1.069,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6062,                 3.5218,                 1.2644,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.2937,                  3.572,                 1.2235,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,               0.000901,               0.000901,               0.000901
                     12,                 1.4655,                 3.5116,                 1.3262,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.3295,                 3.5526,                 1.1131,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1712,                 3.3766,                 1.0276,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1813,                 3.4197,                 1.0362,                0.01333,                      1,                  0.995,                  0.398,                 1.3003,                 7.3791,                0.94525,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.3169,                 3.9531,                 1.2167,                0.01042,                      1,                 0.4975,                0.14925,                 1.2632,                 8.3088,                 1.1447,              0.0008515,              0.0008515,              0.0008515
